Task ID: 1	Task: getting organized at work
		2	choose bathroom home remodeling remodel
		2	choose bathroom homes designing
		2	choose bathroom lighting
		2	choose bathroom lighting design fixtures
		2	choose bathroom lighting design software
		2	choose bathroom lighting modern design contemporary
		2	choose bathroom remodel bathroomremodel
		2	choose bathroom remodeling
		2	choose bathroom small
		2	choose bathroom small designs
		2	choose bathroom tagged
		2	choose bathroom tops accessories vanity
		2	choose bathroom vanity accessories furniture
		2	choose hanging lights
		2	choosing bathroom fixtures
		2	decorating your bathroom choosing
		2	home bathroom remodeling remodel
		2	home safety
		2	how to choose a bathroom suite
		2	how to choose bathroom accessories and bathtubs
		2	how to choose bathroom hardware
		2	ideas choosing bathroom
		2	light fixture
		2	lighten things
		2	lighting bathroom design fixtures
		2	lighting bathroom modern design contemporary
		2	modern bathroom ideas choosing
		2	small bathrooms
		2	small designs bathrooms
		2	suite bathroom
		2	tips to choose relaxing bathroom accessories
		2	to choose bathroom accessories and towel poles
		2	update light fixtures
		2	use a nightlight
		1	Choosing Your Bathroom Cabinets
		1	Faucets Choosing Bathroom
		1	Vanity How To Choose A Bathroom
		1	a bathroom
		1	allow sunlight
		1	appraise your bathroom
		1	basin how to choose bathroom
		1	bath grande oversized reversible rug
		1	bath mat
		1	bathroom brass
		1	bathroom cabinets
		1	bathroom faucets
		1	bathroom furniture
		1	bathroom generation tissue unscented
		1	bathroom grande rugs
		1	bathroom name product tissue unscented
		1	bathroom oak cabinet design furniture vanity
		1	choose a type bathroom
		1	choose bathroom bathroomcornervanity corner vanity
		1	choose bathroom cabinets
		1	choose bathroom designs design tagged
		1	choose bathroom faucets two
		1	choose bathroom home
		1	choose bathroom oak cabinet design furniture vanity
		1	choose bathroom toilet
		1	choose bathroom vanities
		1	choose bathroom vanities the
		1	choose bathroom vanity oak furniture
		1	choose bathroom vanity sinks furniture
		1	choose bathroom wall bathroomcabinetwall cabinet
		1	choosing bathroom colours
		1	claw foot home perfect tub
		1	custom bathroom vanity
		1	do it entirely
		1	experiment
		1	full bathroom
		1	fun choosing bathroom
		1	home bathroom
		1	home improvement
		1	lighting bathroom design software
		1	measure
		1	more photos
		1	one bathroom
		1	our master bathroom
		1	poles choosing bathroom
		1	replace it yet
		1	sets choosing bathroom
		1	shop by brand
		1	the bathroom
		1	the room
		1	your bathroom
	Subtask ID: 13	Description: Choose shower curtain
		2	Categories Choosing Bathroom
		2	Choosing Bathroom Accessories
		2	Choosing Bathroom Shower
		2	Related to Choosing Bathroom
		2	appearance in your bathroom by choosing
		2	bath mat
		2	bathroom accessories
		2	bathroom by choosing the right
		2	bathroom choosing the best
		2	bathroom decor
		2	bathroom design tagged
		2	bathroom designer luxury
		2	bathroom designs design tagged
		2	bathroom fixtures
		2	bathroom remodel bathroomremodel
		2	bathroom remodeling
		2	bathroom renovations
		2	bathroom shower curtain
		2	bathroom tagged
		2	bathroom vanities showers toilets lowe s
		2	bathroom vanity accessories furniture
		2	best bathroom accessory bathroom shower curtain
		2	cheap bathroom suites
		2	choose a bathroom
		2	choose bathroom accessories
		2	choose bathroom colors
		2	choose bathroom decor
		2	choose bathroom design tagged
		2	choose bathroom designer luxury
		2	decorating your bathroom choosing
		2	fabric curtains
		2	how to choose bathroom accessories and bathtubs
		2	ideas choosing bathroom
		2	shower curtain
		2	shower curtain hardware
		2	shower curtain material
		2	shower curtains
		2	to choose bathroom accessories and towel poles
		2	waterproof fabrics
		2	while fabric curtains
		1	Choose A Bathroom Wall
		1	Choosing Bathroom Fixtures
		1	Choosing Your Bathroom Cabinets
		1	Faucets Choosing Bathroom
		1	Vanity How To Choose A Bathroom
		1	a bathroom
		1	appraise your bathroom
		1	basin how to choose bathroom
		1	bath grande oversized reversible rug
		1	bathroom brass
		1	bathroom cabinets
		1	bathroom cabinets lighting
		1	bathroom faucets
		1	bathroom furniture
		1	bathroom generation tissue unscented
		1	bathroom grande rugs
		1	bathroom name product tissue unscented
		1	bathroom oak cabinet design furniture vanity
		1	bathroom remodel questions to ask a contractor
		1	buy bathroom remodeling choosing
		1	choose a type bathroom
		1	choose bathroom designs design tagged
		1	choose bathroom home
		1	choose bathroom home improvement
		1	choose bathroom home remodeling remodel
		1	choose bathroom homes designing
		1	choosing bathroom colours
		1	do it entirely
		1	experiment
		1	full bathroom
		1	fun choosing bathroom
		1	home bathroom
		1	home bathroom remodeling remodel
		1	how to choose a bathroom suite
		1	how to choose bathroom hardware
		1	lighten things
		1	measure
		1	modern bathroom ideas choosing
		1	more photos
		1	one bathroom
		1	our master bathroom
		1	poles choosing bathroom
		1	replace it yet
		1	rugs how to choose bathroom
		1	sets choosing bathroom
		1	shop by brand
		1	small bathrooms
		1	small designs bathrooms
		1	suite bathroom
		1	tape measure to measure
		1	the bathroom
		1	the liner
		1	the room
		1	your bathroom
Task ID: 3	Task: low wedding budget
	Subtask ID: 1	Description: Low budget wedding venues
		2	!Return to Low Budget Wedding
		2	Fabulous Low Budget Wedding
		2	Living Low Budget Wedding
		2	Low Budget Wedding Ideas
		2	Low Budget Wedding Tips
		2	favorite low budget wedding
		2	how to plan a low budget wedding reception
		2	low budget wedding
		2	low wedding budget eco
		2	wedding receptions
		1	Low Budget Wedding Favors
		1	Low Budget Wedding in Miami
		1	budget catering
		1	budget wedding
		1	ideas wedding
		1	low budget wedding decorations
		1	low budget wedding ideas
		1	low budget wedding is well
		1	low budget wedding that is elegant
		1	low wedding budget blog designer dresses
		1	low wedding budget checklist planning
		1	low wedding budget designer dresses
		1	low wedding budget dresses
		1	low wedding budget easy
		1	low wedding budget expenses
		1	low wedding budget flowers planning dress
		1	low wedding budget gowns planning
		1	low wedding budget ideas
		1	low wedding budget italy
		1	low wedding budget photography music
		1	low wedding budget photography planners decorations
		1	low wedding budget planning receptions
		1	low wedding budget receptions rehearsal rehearsals registry songs
		1	paint job
		1	the super low budget wedding reception
		1	wedding budget sheet
		1	wedding fund
		1	weddings italy
		1	wonderful low budget wedding
	Subtask ID: 2	Description: Tips for wedding planning on a low budget
		2	Fabulous Low Budget Wedding
		2	Living Low Budget Wedding
		2	Low Budget Wedding Ideas
		2	Low Budget Wedding Tips
		2	low budget wedding
		2	low budget wedding ideas
		2	low wedding budget
		2	low wedding budget checklist planning
		2	low wedding budget menu photography music ideas
		2	low wedding budget planning
		2	low wedding budget planning books
		2	low wedding budget tips
		2	wonderful low budget wedding
		1	!Return to Low Budget Wedding
		1	Low Budget Wedding Favors
		1	Low Budget Wedding in Miami
		1	favorite low budget wedding
		1	how to plan a low budget wedding reception
		1	ideas wedding
		1	low budget wedding dresses
		1	low budget wedding is well
		1	low budget wedding that is elegant
		1	low wedding budget bands
		1	low wedding budget blog designer dresses
		1	low wedding budget cars
		1	low wedding budget designer dresses
		1	low wedding budget dresses
		1	low wedding budget easy
		1	low wedding budget eco
		1	low wedding budget expenses
		1	low wedding budget flowers planning dress
		1	low wedding budget gowns planning
		1	low wedding budget ideas
		1	low wedding budget photography invitations invitation
		1	low wedding budget photography music
		1	low wedding budget photography planners decorations
		1	low wedding budget planning cheap
		1	low wedding budget planning dress
		1	low wedding budget planning receptions
		1	low wedding budget planning simplified
		1	low wedding budget receptions rehearsal rehearsals registry songs
		1	low wedding budget themes videography
		1	make your own invitations
		1	organising a low budget wedding
		1	planning cheap wedding
		1	the super low budget wedding reception
		1	us your low budget wedding
		1	wedding budget checklist
		1	wedding budget templates
		1	wedding budget tips
		1	wedding decorations
		1	wedding dresses and tuxedos
		1	wedding expenses
		1	wedding favors
		1	wedding flowers
		1	wedding fund
		1	wedding invitation
		1	wedding invitations
		1	wedding photography
		1	wedding planners
		1	wedding planning
		1	wedding receptions
		1	wedding rings
		1	wedding vendors
		1	wedding video
		1	weddings budget
		1	weddings easy
		1	your budget
		1	your wedding
	Subtask ID: 3	Description: How to organize your own wedding
		2	wedding fund
		2	wedding invitation
		2	wedding invitations
		2	wedding photography
		2	wedding planners
		2	wedding planning
		2	wedding receptions
		2	wedding rings
		2	wedding vendors
		2	weddings budget
		2	wonderful low budget wedding
		2	your budget
		2	your guests
		2	your wedding
		1	!Return to Low Budget Wedding
		1	Fabulous Low Budget Wedding
		1	Living Low Budget Wedding
		1	Low Budget Wedding Favors
		1	Low Budget Wedding Ideas
		1	Low Budget Wedding Tips
		1	a wedding
		1	budget wedding
		1	checklist planning wedding
		1	cup cake wedding
		1	designer dresses wedding
		1	destination weddings
		1	eco weddings
		1	establish your budget
		1	expenses wedding
		1	favorite low budget wedding
		1	find wedding invitation templates
		1	flowers planning dress wedding
		1	free wedding budget form
		1	gerbera daisy weddings flowers
		1	gowns planning wedding
		1	high low wedding gown
		1	high-low wedding gown
		1	how to plan a low budget wedding reception
		1	ideas wedding
		1	invitations rubber stamping wedding
		1	low budget wedding
		1	low budget wedding decorations
		1	low budget wedding dresses
		1	low budget wedding ideas
		1	low budget wedding that is elegant
		1	my wedding
		1	organising a low budget wedding
		1	wedding budget checklist
		1	wedding budget form
		1	wedding budget sheet
		1	wedding budget templates
		1	wedding budget tips
		1	wedding cakes
		1	wedding ceremony
		1	wedding checklist
		1	wedding decorations
		1	wedding dresses
		1	wedding dresses and tuxedos
		1	wedding expenses
		1	wedding favors
		1	wedding flowers
		1	wedding video
		1	weddings easy
		1	weddings italy
	Subtask ID: 4	Description: How to have a low budget wedding/low budget wedding ideas
		2	!Return to Low Budget Wedding
		2	Fabulous Low Budget Wedding
		2	Low Budget Wedding Favors
		2	Low Budget Wedding Ideas
		2	Low Budget Wedding Tips
		2	low budget wedding
		2	low budget wedding ideas
		2	low wedding budget checklist planning
		2	low wedding budget ideas
		2	low wedding budget menu photography music ideas
		2	low wedding budget photography music
		2	low wedding budget photography planners decorations
		2	low wedding budget planning
		2	low wedding budget planning books
		2	low wedding budget tips
		2	wonderful low budget wedding
		1	Living Low Budget Wedding
		1	Low Budget Wedding in Miami
		1	budget catering
		1	favorite low budget wedding
		1	how to plan a low budget wedding reception
		1	ideas wedding
		1	low budget wedding decorations
		1	low budget wedding dresses
		1	low budget wedding is well
		1	low budget wedding that is elegant
		1	low wedding budget
		1	low wedding budget bands
		1	low wedding budget blog designer dresses
		1	low wedding budget cars
		1	low wedding budget designer dresses
		1	low wedding budget dresses
		1	low wedding budget easy
		1	low wedding budget eco
		1	low wedding budget expenses
		1	low wedding budget flowers planning dress
		1	low wedding budget gowns planning
		1	low wedding budget photography invitations invitation
		1	low wedding budget planning cheap
		1	low wedding budget planning dress
		1	low wedding budget planning receptions
		1	low wedding budget planning simplified
		1	low wedding budget receptions rehearsal rehearsals registry songs
		1	low wedding budget themes videography
		1	make your own invitations
		1	organising a low budget wedding
		1	planning cheap wedding
		1	the super low budget wedding reception
		1	us your low budget wedding
		1	wedding budget tips
		1	wedding decorations
		1	wedding dresses and tuxedos
		1	wedding expenses
		1	wedding favors
		1	wedding flowers
		1	wedding fund
		1	wedding invitation
		1	wedding invitations
		1	wedding photography
		1	wedding planners
		1	wedding planning
		1	wedding receptions
		1	wedding rings
		1	wedding vendors
		1	wedding video
		1	weddings budget
		1	weddings easy
		1	your budget
		1	your guests
		1	your wedding
	Subtask ID: 5	Description: Low budget bridal shower ideas
	Subtask ID: 6	Description: Delegate tasks to family
		1	Fabulous Low Budget Wedding
		1	Living Low Budget Wedding
		1	Low Budget Wedding Ideas
		1	Low Budget Wedding Tips
		1	Low Budget Wedding in Miami
		1	low budget wedding
		1	low budget wedding ideas
		1	wedding photography
		1	wedding planning
		1	wedding receptions
		1	wedding video
		1	weddings budget
		1	your wedding
	Subtask ID: 7	Description: Buy a used wedding gown
		2	buy a used wedding gown
		2	low wedding budget blog designer dresses
		2	low wedding budget planning dress
		1	!Return to Low Budget Wedding
		1	Fabulous Low Budget Wedding
		1	Living Low Budget Wedding
		1	Low Budget Wedding Ideas
		1	Low Budget Wedding Tips
		1	a wedding
		1	blog designer dresses wedding
		1	dresses wedding
		1	find a gown
		1	gowns planning wedding
		1	low budget wedding
		1	low budget wedding dresses
		1	low budget wedding ideas
		1	low wedding budget designer dresses
		1	low wedding budget dresses
		1	low wedding budget easy
		1	low wedding budget flowers planning dress
		1	low wedding budget gowns planning
		1	low wedding budget ideas
		1	low wedding budget planning books
		1	low wedding budget planning cheap
		1	low wedding budget tips
		1	wedding dresses
		1	wedding dresses and tuxedos
		1	wedding expenses
		1	wedding fund
		1	wedding planning
		1	weddings budget
		1	wonderful low budget wedding
		1	your budget
	Subtask ID: 8	Description: Cheap wedding cake
		1	!Return to Low Budget Wedding
		1	Fabulous Low Budget Wedding
		1	Living Low Budget Wedding
		1	Low Budget Wedding Ideas
		1	Low Budget Wedding Tips
		1	Low Budget Wedding in Miami
		1	cup cake wedding
		1	how to plan a low budget wedding reception
		1	low budget wedding
		1	low budget wedding ideas
		1	low wedding budget ideas
		1	low wedding budget planning books
		1	low wedding budget planning cheap
		1	low wedding budget tips
		1	wedding cakes
		1	wedding expenses
		1	wedding fund
		1	wedding planning
		1	weddings budget
		1	wonderful low budget wedding
		1	your budget
	Subtask ID: 9	Description: Make your own invitations
		2	make your own invitations
		2	wedding invitation
		2	wedding invitations
		1	!Return to Low Budget Wedding
		1	Fabulous Low Budget Wedding
		1	Living Low Budget Wedding
		1	Low Budget Wedding Ideas
		1	Low Budget Wedding Tips
		1	Low Budget Wedding in Miami
		1	discount red and yellow wedding invitations
		1	festive glow wedding invitation
		1	find wedding invitation templates
		1	invitations rubber stamping wedding
		1	low budget wedding
		1	low budget wedding ideas
		1	low wedding budget ideas
		1	low wedding budget photography invitations invitation
		1	photography invitations invitation wedding
		1	red and yellow wedding invitations
		1	wedding expenses
		1	wedding fund
		1	wedding planning
		1	weddings budget
		1	wonderful low budget wedding
		1	your budget
	Subtask ID: 10	Description: Find low cost catering or cater it yourself
		2	low budget wedding
		1	!Return to Low Budget Wedding
		1	Fabulous Low Budget Wedding
		1	Living Low Budget Wedding
		1	Low Budget Wedding Favors
		1	Low Budget Wedding Ideas
		1	Low Budget Wedding Tips
		1	Low Budget Wedding in Miami
		1	budget catering
		1	how to plan a low budget wedding reception
		1	low budget wedding ideas
		1	low wedding budget ideas
		1	low wedding budget planning
		1	low wedding budget planning books
		1	low wedding budget planning cheap
		1	low wedding budget planning receptions
		1	low wedding budget tips
		1	the super low budget wedding reception
		1	wedding expenses
		1	wedding fund
		1	wedding planning
		1	wedding vendors
		1	weddings budget
		1	wonderful low budget wedding
		1	your budget
	Subtask ID: 11	Description: Buy budget wedding bands
		2	low wedding budget bands
		1	!Return to Low Budget Wedding
		1	Fabulous Low Budget Wedding
		1	Living Low Budget Wedding
		1	Low Budget Wedding Ideas
		1	Low Budget Wedding Tips
		1	Low Budget Wedding in Miami
		1	bands wedding
		1	low budget wedding
		1	low budget wedding ideas
		1	low wedding budget ideas
		1	low wedding budget planning
		1	low wedding budget planning books
		1	low wedding budget planning cheap
		1	low wedding budget tips
		1	wedding expenses
		1	wedding fund
		1	wedding planning
		1	wedding vendors
		1	weddings budget
		1	wonderful low budget wedding
		1	your budget
	Subtask ID: 12	Description: Hold the ceremony at an inexpensive location
		2	low budget wedding
		1	!Return to Low Budget Wedding
		1	Fabulous Low Budget Wedding
		1	Living Low Budget Wedding
		1	Low Budget Wedding Ideas
		1	Low Budget Wedding Tips
		1	Low Budget Wedding in Miami
		1	how to plan a low budget wedding reception
		1	low budget wedding ideas
		1	low wedding budget expenses
		1	low wedding budget ideas
		1	low wedding budget planning
		1	low wedding budget planning books
		1	low wedding budget planning cheap
		1	low wedding budget planning receptions
		1	low wedding budget receptions rehearsal rehearsals registry songs
		1	low wedding budget tips
		1	the super low budget wedding reception
		1	wedding expenses
		1	wedding fund
		1	wedding planning
		1	wedding vendors
		1	weddings budget
		1	wonderful low budget wedding
		1	your budget
Task ID: 4	Task: lower heart rate
	Subtask ID: 1	Description: Lower heart rate naturally
		2	Lower Heart Rate Naturally
		1	Bananas Lower Heart RateBananas
		1	Exercise Lowers Heart RateThe
		1	Help Lower Heart Rate
		1	Normal heart rate
		1	Raisins Lower Heart RateRaisins
		1	aerobic conditioning exercise strength training
		1	do aerobic exercise
		1	heart rates
		1	high blood pressure
		1	increased heart rate during pregnancy
		1	lower heart rate
		1	lower heart rate and
		1	lower heart rate and average
		1	lower heart rate and maximum
		1	lower heart rate and variability
		1	lower heart rate average
		1	lower heart rate better
		1	lower heart rate current
		1	lower heart rate disease prevention
		1	lower heart rate training article
		1	lower heart rate when
		1	lower my heart rate
		1	lower resting heart rate and
		1	lower the heart rate
		1	lower your heart rate
		1	potassium levels
		1	q a how can i lower my resting heart rate
		1	rapid heart rate
		1	tagged lower heart rate
		1	to lower heart rate and
		1	very fast heart rate during pregnancy
		1	your doctor
		1	your heart
	Subtask ID: 2	Description: Lower heart rate advantages
		1	Best Heart Rate
		1	Fitness Heart Rate
		1	a heart attack
		1	a lower heart rate and
		1	attacks heart attack
		1	heart rate
		1	heart rate increase
		1	heart rate information
		1	heart rate training article
		1	heart rates
		1	heart sure health
		1	high blood pressure
		1	increased heart rate during pregnancy
		1	instance
		1	lower heart rate
		1	lower heart rate and
		1	lower heart rate and average
		1	lower heart rate and maximum
		1	lower heart rate and variability
		1	lower heart rate attacks attack
		1	lower heart rate average
		1	lower heart rate better
		1	lower heart rate current
		1	lower heart rate disease
		1	lower heart rate disease or
		1	lower heart rate disease prevention
		1	lower heart rate disease risk
		1	lower heart rate disease target
		1	lower heart rate health
		1	lower heart rate home health center
		1	lower heart rate monitor
		1	lower heart rate sure health
		1	lower heart rate training article
		1	lower heart rate variability
		1	lower heart rate when
		1	lower my heart rate
		1	lower the heart rate
		1	lower your heart rate
		1	normal heart rate dangerous heart rate
		1	resting heart rate
		1	resting heart rate congestive heart patient
		1	resting heart rate values
		1	tagged lower heart rate
		1	very fast heart rate during pregnancy
		1	your doctor
		1	your heart
		1	your risk
	Subtask ID: 3	Description: Methods to lower heart rate
		1	Exercise Lowers Heart RateThe
		1	Fitness Heart Rate
		1	Help Lower Heart Rate
		1	Normal heart rate
		1	Raisins Lower Heart RateRaisins
		1	cardiovascular disease
		1	do aerobic exercise
		1	heart rate
		1	heart rate training article
		1	heart rates
		1	heart sure health
		1	high blood pressure
		1	increase in heart rate
		1	increased heart rate during pregnancy
		1	lower heart rate
		1	lower heart rate and
		1	lower heart rate and average
		1	lower heart rate and maximum
		1	lower heart rate and variability
		1	lower heart rate attacks attack
		1	lower heart rate average
		1	lower heart rate better
		1	lower heart rate current
		1	lower heart rate disease prevention
		1	lower heart rate disease risk
		1	lower heart rate factors disease risk
		1	lower heart rate health
		1	lower heart rate home center
		1	lower heart rate home health center
		1	lower heart rate monitor
		1	lower heart rate training article
		1	lower heart rate variability
		1	lower heart rate when
		1	lower my heart rate
		1	lower resting heart rate and
		1	lower the heart rate
		1	lower your heart rate
		1	normal heart rate dangerous heart rate
		1	q a how can i lower my resting heart rate
		1	rapid heart rate
		1	resting heart rate
		1	resting heart rate congestive heart patient
		1	tagged lower heart rate
		1	the heart
		1	to lower heart rate and
		1	very fast heart rate during pregnancy
		1	your doctor
		1	your heart
	Subtask ID: 4	Description: Medicine to lower heart rate
		2	lower heart rate medicine
		1	Help Lower Heart Rate
		1	Normal heart rate
		1	Xanax Lower Heart Rate
		1	attacks heart attack
		1	coronary heart disease
		1	heart lower disease
		1	heart rate lowering with ivabradine
		1	heart rates
		1	heart sure health
		1	heart tagged disease coronary
		1	high blood pressure
		1	increased heart rate during pregnancy
		1	lower heart rate
		1	lower heart rate and
		1	lower heart rate and average
		1	lower heart rate and maximum
		1	lower heart rate and variability
		1	lower heart rate attacks attack
		1	lower heart rate average
		1	lower heart rate better
		1	lower heart rate current
		1	lower heart rate disease prevention
		1	lower heart rate disease risk
		1	lower heart rate disease target
		1	lower heart rate factors disease risk
		1	lower heart rate health
		1	lower heart rate home center
		1	lower heart rate home health center
		1	lower heart rate training article
		1	lower heart rate variability
		1	lower heart rate when
		1	lower my heart rate
		1	lower resting heart rate and
		1	lower the heart rate
		1	lower your heart rate
		1	medications decrease fetal heart rate variability
		1	menopause pituitary heart rate ovarian cyst
		1	normal heart rate dangerous heart rate
		1	q a how can i lower my resting heart rate
		1	rapid heart rate
		1	reflex bradycardia
		1	resting heart rate
		1	resting heart rate congestive heart patient
		1	to lower heart rate and
		1	very fast heart rate during pregnancy
		1	your doctor
		1	your heart
	Subtask ID: 5	Description: Lower heart rate during exercise
		1	Beat Heart Rate
		1	Bike Heart Rate
		1	Cycling Heart Rate
		1	Exercise Lowers Heart RateThe
		1	Fitness Heart Rate
		1	Lower Heart Rate Naturally
		1	Run Heart Rate
		1	Sport Heart Rate
		1	Women Heart Rate
		1	do aerobic exercise
		1	heart rate
		1	heart rate during
		1	heart rate training article
		1	heart rates
		1	heart sure health
		1	heart tagged disease coronary
		1	high blood pressure
		1	increased heart rate during pregnancy
		1	interrupt your exercise
		1	lower heart rate
		1	lower heart rate and
		1	lower heart rate and average
		1	lower heart rate and maximum
		1	lower heart rate and variability
		1	lower heart rate attacks attack
		1	lower heart rate average
		1	lower heart rate better
		1	lower heart rate buy monitor best
		1	lower heart rate current
		1	lower heart rate disease prevention
		1	lower heart rate monitor
		1	lower heart rate monitors usa fitness
		1	lower heart rate training article
		1	lower heart rate when
		1	lower my heart rate
		1	lower resting heart rate and
		1	lower the heart rate
		1	lower your heart rate
		1	normal heart rate dangerous heart rate
		1	rapid heart rate
		1	rate during exercise
		1	tagged lower heart rate
		1	to lower heart rate and
		1	your heart
		1	your risk
	Subtask ID: 6	Description: Resting heart rate
		2	resting heart rate
		2	resting heart rate congestive heart patient
		2	resting heart rate values
		1	100 beats per minute normal heart rate eighteen year old
		1	Beat Heart Rate
		1	Best Heart Rate
		1	Fitness Heart Rate
		1	Lower Heart Rate Naturally
		1	Normal heart rate
		1	Pulse Heart Rate
		1	Target Heart Rate
		1	cardiovascular disease
		1	ensure heart
		1	heart rate
		1	heart rate lowering with ivabradine
		1	heart rates
		1	heart sure health
		1	heart tagged disease coronary
		1	high blood pressure
		1	lower heart rate
		1	lower heart rate and average
		1	lower heart rate and maximum
		1	lower heart rate and variability
		1	lower heart rate average
		1	normal heart rate dangerous heart rate
		1	q a how can i lower my resting heart rate
		1	rapid heart rate
		1	wrist heart rate
		1	your heart
	Subtask ID: 7	Description: Lower heart rate quickly
		1	Help Lower Heart Rate
		1	Lower Heart Rate Naturally
		1	Normal heart rate
		1	Raisins Lower Heart RateRaisins
		1	current heart rate
		1	gain the benefits
		1	heart factors disease risk
		1	heart rate
		1	heart rate after big meal
		1	heart rate aftera big meal
		1	heart rates
		1	heart sure health
		1	heart tagged disease coronary
		1	high blood pressure
		1	increase in heart rate
		1	increased heart rate during pregnancy
		1	interrupt your exercise
		1	lower heart rate
		1	lower heart rate and
		1	lower heart rate and average
		1	lower heart rate and maximum
		1	lower heart rate and variability
		1	lower heart rate attacks attack
		1	lower heart rate average
		1	lower heart rate better
		1	lower heart rate current
		1	lower heart rate disease risk
		1	lower heart rate home health center
		1	lower heart rate training article
		1	lower heart rate variability
		1	lower heart rate when
		1	lower my heart rate
		1	lower resting heart rate and
		1	lower the heart rate
		1	lower your heart rate
		1	normal heart rate dangerous heart rate
		1	potassium levels
		1	q a how can i lower my resting heart rate
		1	rapid heart rate
		1	to lower heart rate and
		1	very fast heart rate during pregnancy
		1	your doctor
		1	your heart
		1	your risk
Task ID: 5	Task: website design hosting
	Subtask ID: 1	Description: Website design hosting services
		1	Design Website Hosting ACME
		1	Design Website Hosting Alliance
		1	Design Website Hosting Camden
		1	Design Website Hosting Dave
		1	Design Website Hosting Gepford
		1	Design Website Hosting Highland
		1	Design Website Hosting Internet
		1	Design Website Hosting JS
		1	Design Website Hosting MLS
		1	Design Website Hosting Network
		1	Design Website Hosting Online
		1	Design Website Hosting Photography
		1	Design Website Hosting Professional
		1	Design Website Hosting Weeds
		1	Hosting Website Design Graphics
		1	Wesite Design Website Hosting
		1	a website
		1	administrator
		1	amazing design solutions website designers
		1	and hosting website design hosting
		1	baton rouge website design
		1	boutique website design
		1	build a website yourself
		1	copy the code
		1	cost you money
		1	design your own website
		1	design your website
		1	development web company
		1	development web company developers
		1	development web design site
		1	devices
		1	dns server information
		1	find nameservers
		1	free website design and free web hosting
		1	host several websites
		1	hosting package support website year
		1	html
		1	html code
		1	html file
		1	login information
		1	paste the code
		1	programming skills
		1	responsive design
		1	search engine optimization
		1	services professional hosting web
		1	services web indian development designing
		1	show the hierarchy
		1	the internet
		1	use standard html
		1	web design
		1	web design services
		1	web designers
		1	web development
		1	web hosting
		1	web online
		1	web page
		1	web server application
		1	web site
		1	webmasters website design website hosting
		1	website design company
		1	website design hosting
		1	website design hosting companies
		1	website design services images hosting
		1	website design services professional hosting web
		1	website design services web
		1	website design services web indian development
		1	website design services website hosting
		1	website design website hosting email
		1	website development design
		1	website development design services
		1	website governance
		1	website hosting
		1	website services images design hosting
	Subtask ID: 2	Description: Website design hosting packages
		1	Design Website Hosting ACME
		1	Design Website Hosting Alliance
		1	Design Website Hosting Camden
		1	Design Website Hosting Dave
		1	Design Website Hosting Gepford
		1	Design Website Hosting Highland
		1	Design Website Hosting Internet
		1	Design Website Hosting JS
		1	Design Website Hosting MLS
		1	Design Website Hosting Network
		1	Design Website Hosting Online
		1	Design Website Hosting Photography
		1	Design Website Hosting Professional
		1	Design Website Hosting Weeds
		1	Hosting Website Design Graphics
		1	Wesite Design Website Hosting
		1	a website
		1	administrator
		1	amazing design solutions website designers
		1	and hosting website design hosting
		1	baton rouge website design
		1	boutique website design
		1	build a website yourself
		1	copy the code
		1	cost you money
		1	design your own website
		1	design your website
		1	development web company
		1	development web company developers
		1	development web design site
		1	development web website baytech design
		1	devices
		1	dns server information
		1	free website design and free web hosting
		1	host several websites
		1	hosting package support website year
		1	html
		1	html code
		1	html file
		1	internet marketing
		1	login information
		1	paste the code
		1	programming skills
		1	responsive design
		1	search engine optimization
		1	services professional hosting web
		1	services web company design firm
		1	services web indian development designing
		1	the internet
		1	use standard html
		1	web design
		1	web development
		1	web hosting
		1	web online
		1	web page
		1	web server application
		1	web site
		1	webmasters website design website hosting
		1	website design company
		1	website design hosting
		1	website design hosting companies
		1	website design services images hosting
		1	website design services professional hosting web
		1	website design services web
		1	website design services web indian development
		1	website design services website hosting
		1	website design website hosting email
		1	website development design
		1	website hosting
		1	website services images design hosting
	Subtask ID: 3	Description: Free website design hosting
		2	free website design and free web hosting
		1	Design Website Hosting ACME
		1	Design Website Hosting Alliance
		1	Design Website Hosting Camden
		1	Design Website Hosting Dave
		1	Design Website Hosting Gepford
		1	Design Website Hosting Highland
		1	Design Website Hosting Internet
		1	Design Website Hosting MLS
		1	Design Website Hosting Network
		1	Design Website Hosting Online
		1	Design Website Hosting Photography
		1	Design Website Hosting Professional
		1	Design Website Hosting Weeds
		1	Hosting Website Design Graphics
		1	Wesite Design Website Hosting
		1	a website
		1	administrator
		1	amazing design solutions website designers
		1	and hosting website design hosting
		1	baton rouge website design
		1	boutique website design
		1	build a website yourself
		1	cheerleading website design
		1	conduit mobile
		1	copy the code
		1	cost you money
		1	design your own website
		1	design your website
		1	development web company
		1	development web company developers
		1	development web design site
		1	development web website baytech design
		1	dns server information
		1	feel free information please visit
		1	free website templates free photoshop web templates website design
		1	get a designer
		1	graphic design
		1	graphic design portfolio
		1	host several websites
		1	hosting package support website year
		1	html
		1	html code
		1	html file
		1	login information
		1	paste the code
		1	programming skills
		1	responsive design
		1	search engine optimization
		1	services professional hosting web
		1	services web company design firm
		1	services web indian development designing
		1	the internet
		1	use standard html
		1	web design
		1	web design services
		1	web designers
		1	web hosting
		1	web online
		1	web server application
		1	web site
		1	webmasters website design website hosting
		1	website design company
		1	website design hosting
		1	website design hosting companies
		1	website design services images hosting
		1	website design services professional hosting web
