Task ID: 1	Task: acid stain concrete
		1	apply for aadhar card chennai
		1	apply for aadhar card for nri
		1	apply for aadhar card from abroad
		1	apply for aadhar card online
		1	apply for aadhar card online bangalore
		1	apply for aadhar card online in west bengal
		1	apply for aadhar card online pune
		1	apply for aadhar card online tamilnadu
		1	authorised aadhaar enrolment centre nearby
		1	can i apply for aadhar card online
		1	can nri apply for aadhar card
		1	card
		1	card apply badApply
		1	card apply gor
		1	cerdit card apply
		1	check aadhar card enrolment status
		1	check aadhar card status
		1	creedit card apply
		1	eliminate Apply card
		1	free Apply approval card
		1	how to apply for aadhar card
		1	how to apply for aadhar card in chennai
		1	how to apply for aadhar card in delhi
		1	how to apply for aadhar card online
		1	legally Apply card
		1	master Apply card
		1	online aadhar application process explained
		1	online apply for aadhar card
		1	premier Apply card
		1	where to apply for aadhar card
	Subtask ID: 2	Description: What are the advantages of the Aadhar card?
		1	Aadhar Card Application Form
		1	Aadhar Card Download
		1	Aadhar Card Number Search
		1	Aadhar Card Online Registration
		1	Aadhar Card Print Out
		1	Aadhar No by Name Search
		1	Application apply card
		1	Apply card circuit
		1	Card apply online
		1	Check My Aadhar Card
		1	Credit Card apply
		1	E Aadhaar Card Download
		1	aadhaar card
		1	aadhaar card application procedure
		1	aadhaar card online
		1	aadhaar card status check
		1	aadhar card
		1	aadhar card application
		1	aadhar card apply
		1	aadhar card apply online
		1	aadhar card apply online easy
		1	aadhar card correction
		1	aadhar card online
		1	aadhar card online application
		1	aadhar card online application archives
		1	aadhar card status
		1	aadhar card update status
		1	additional detailed personal information required
		1	apply for aadhar card
		1	apply for aadhar card address change
		1	apply for aadhar card agency
		1	apply for aadhar card bangalore
		1	apply for aadhar card center
		1	apply for aadhar card chennai
		1	apply for aadhar card for nri
		1	apply for aadhar card from abroad
		1	apply for aadhar card online
		1	apply for aadhar card online bangalore
		1	apply for aadhar card online in west bengal
		1	apply for aadhar card online pune
		1	apply for aadhar card online tamilnadu
		1	authorised aadhaar enrolment centre nearby
		1	can i apply for aadhar card online
		1	can nri apply for aadhar card
		1	card
		1	card apply badApply
		1	card apply gor
		1	cerdit card apply
		1	check aadhar card enrolment status
		1	check aadhar card status
		1	creedit card apply
		1	eliminate Apply card
		1	free Apply approval card
		1	how to apply for aadhar card
		1	how to apply for aadhar card in chennai
		1	how to apply for aadhar card in delhi
		1	how to apply for aadhar card online
		1	legally Apply card
		1	master Apply card
		1	online aadhar application process explained
		1	online apply for aadhar card
		1	premier Apply card
		1	where to apply for aadhar card
	Subtask ID: 3	Description: What are the documents required to obtain an Aadhar card?
		1	Aadhar Card Application Form
		1	Aadhar Card Download
		1	Aadhar Card Number Search
		1	Aadhar Card Online Registration
		1	Aadhar Card Print Out
		1	Aadhar No by Name Search
		1	Application apply card
		1	Apply card circuit
		1	Card apply online
		1	Check My Aadhar Card
		1	Credit Card apply
		1	E Aadhaar Card Download
		1	aadhaar card
		1	aadhaar card application procedure
		1	aadhaar card online
		1	aadhaar card status check
		1	aadhar card
		1	aadhar card application
		1	aadhar card apply
		1	aadhar card apply online
		1	aadhar card apply online easy
		1	aadhar card correction
		1	aadhar card online
		1	aadhar card online application
		1	aadhar card online application archives
		1	aadhar card status
		1	aadhar card update status
		1	additional detailed personal information required
		1	apply for aadhar card
		1	apply for aadhar card address change
		1	apply for aadhar card agency
		1	apply for aadhar card bangalore
		1	apply for aadhar card center
		1	apply for aadhar card chennai
		1	apply for aadhar card for nri
		1	apply for aadhar card from abroad
		1	apply for aadhar card online
		1	apply for aadhar card online bangalore
		1	apply for aadhar card online in west bengal
		1	apply for aadhar card online pune
		1	apply for aadhar card online tamilnadu
		1	authorised aadhaar enrolment centre nearby
		1	can i apply for aadhar card online
		1	can nri apply for aadhar card
		1	card
		1	card apply badApply
		1	card apply gor
		1	cerdit card apply
		1	check aadhar card enrolment status
		1	check aadhar card status
		1	creedit card apply
		1	eliminate Apply card
		1	free Apply approval card
		1	how to apply for aadhar card
		1	how to apply for aadhar card in chennai
		1	how to apply for aadhar card in delhi
		1	how to apply for aadhar card online
		1	legally Apply card
		1	master Apply card
		1	online aadhar application process explained
		1	online apply for aadhar card
		1	premier Apply card
		1	where to apply for aadhar card
	Subtask ID: 4	Description: How to apply online
		1	Aadhar Card Application Form
		1	Aadhar Card Download
		1	Aadhar Card Number Search
		1	Aadhar Card Online Registration
		1	Aadhar Card Print Out
		1	Aadhar No by Name Search
		1	Application apply card
		1	Apply card circuit
		1	Card apply online
		1	Check My Aadhar Card
		1	Credit Card apply
		1	E Aadhaar Card Download
		1	aadhaar card
		1	aadhaar card application procedure
		1	aadhaar card online
		1	aadhaar card status check
		1	aadhar card
		1	aadhar card application
		1	aadhar card apply
		1	aadhar card apply online
		1	aadhar card apply online easy
		1	aadhar card correction
		1	aadhar card online
		1	aadhar card online application
		1	aadhar card online application archives
		1	aadhar card status
		1	aadhar card update status
		1	additional detailed personal information required
		1	apply for aadhar card
		1	apply for aadhar card address change
		1	apply for aadhar card agency
		1	apply for aadhar card bangalore
		1	apply for aadhar card center
		1	apply for aadhar card chennai
		1	apply for aadhar card for nri
		1	apply for aadhar card from abroad
		1	apply for aadhar card online
		1	apply for aadhar card online bangalore
		1	apply for aadhar card online in west bengal
		1	apply for aadhar card online pune
		1	apply for aadhar card online tamilnadu
		1	authorised aadhaar enrolment centre nearby
		1	can i apply for aadhar card online
		1	can nri apply for aadhar card
		1	card
		1	card apply badApply
		1	card apply gor
		1	cerdit card apply
		1	check aadhar card enrolment status
		1	check aadhar card status
		1	creedit card apply
		1	eliminate Apply card
		1	free Apply approval card
		1	how to apply for aadhar card
		1	how to apply for aadhar card in chennai
		1	how to apply for aadhar card in delhi
		1	how to apply for aadhar card online
		1	legally Apply card
		1	online aadhar application process explained
		1	online apply for aadhar card
		1	premier Apply card
		1	where to apply for aadhar card
	Subtask ID: 5	Description: Age specific instructions for an Aadhar card
		1	Aadhar Card Application Form
		1	Aadhar Card Download
		1	Aadhar Card Number Search
		1	Aadhar Card Online Registration
		1	Aadhar Card Print Out
		1	Aadhar No by Name Search
		1	Application apply card
		1	Apply card circuit
		1	Card apply online
		1	Check My Aadhar Card
		1	Credit Card apply
		1	E Aadhaar Card Download
		1	aadhaar card
		1	aadhaar card application procedure
		1	aadhaar card online
		1	aadhaar card status check
		1	aadhar card
		1	aadhar card application
		1	aadhar card apply
		1	aadhar card apply online
		1	aadhar card apply online easy
		1	aadhar card correction
		1	aadhar card online
		1	aadhar card online application
		1	aadhar card online application archives
		1	aadhar card status
		1	aadhar card update status
		1	additional detailed personal information required
		1	apply for aadhar card
		1	apply for aadhar card address change
		1	apply for aadhar card agency
		1	apply for aadhar card bangalore
		1	apply for aadhar card center
		1	apply for aadhar card chennai
		1	apply for aadhar card for nri
		1	apply for aadhar card from abroad
		1	apply for aadhar card online
		1	apply for aadhar card online bangalore
		1	apply for aadhar card online in west bengal
		1	apply for aadhar card online pune
		1	apply for aadhar card online tamilnadu
		1	authorised aadhaar enrolment centre nearby
		1	can i apply for aadhar card online
		1	can nri apply for aadhar card
		1	card
		1	card apply badApply
		1	card apply gor
		1	cerdit card apply
		1	check aadhar card enrolment status
		1	check aadhar card status
		1	creedit card apply
		1	eliminate Apply card
		1	free Apply approval card
		1	how to apply for aadhar card
		1	how to apply for aadhar card in chennai
		1	how to apply for aadhar card in delhi
		1	how to apply for aadhar card online
		1	legally Apply card
		1	online aadhar application process explained
		1	online apply for aadhar card
		1	premier Apply card
		1	where to apply for aadhar card
	Subtask ID: 6	Description: Picture format for an Aadhar card
		1	Aadhar Card Application Form
		1	Aadhar Card Download
		1	Aadhar Card Number Search
		1	Aadhar Card Online Registration
		1	Aadhar Card Print Out
		1	Aadhar No by Name Search
		1	Application apply card
		1	Apply card circuit
		1	Card apply online
		1	Check My Aadhar Card
		1	Credit Card apply
		1	E Aadhaar Card Download
		1	aadhaar card
		1	aadhaar card application procedure
		1	aadhaar card online
		1	aadhaar card status check
		1	aadhar card
		1	aadhar card application
		1	aadhar card apply
		1	aadhar card apply online
		1	aadhar card apply online easy
		1	aadhar card correction
		1	aadhar card online
		1	aadhar card online application
		1	aadhar card online application archives
		1	aadhar card status
		1	aadhar card update status
		1	additional detailed personal information required
		1	apply for aadhar card
		1	apply for aadhar card address change
		1	apply for aadhar card agency
		1	apply for aadhar card bangalore
		1	apply for aadhar card center
		1	apply for aadhar card chennai
		1	apply for aadhar card for nri
		1	apply for aadhar card from abroad
		1	apply for aadhar card online
		1	apply for aadhar card online bangalore
		1	apply for aadhar card online in west bengal
		1	apply for aadhar card online pune
		1	apply for aadhar card online tamilnadu
		1	authorised aadhaar enrolment centre nearby
		1	can i apply for aadhar card online
		1	can nri apply for aadhar card
		1	card
		1	card apply badApply
		1	card apply gor
		1	cerdit card apply
		1	check aadhar card enrolment status
		1	check aadhar card status
		1	creedit card apply
		1	eliminate Apply card
		1	free Apply approval card
		1	how to apply for aadhar card
		1	how to apply for aadhar card in chennai
		1	how to apply for aadhar card in delhi
		1	how to apply for aadhar card online
		1	legally Apply card
		1	master Apply card
		1	online aadhar application process explained
		1	online apply for aadhar card
		1	premier Apply card
		1	where to apply for aadhar card
Task ID: 24	Task: drivers license united kingdom
	Subtask ID: 1	Description: How to study for driver license test
		1	Driving in United Kingdom
		1	drivers license
		1	drivers license united kingdom
		1	drivers license united kingdom psd
		1	driving licence
		1	driving licence application
		1	driving licence provisional
		1	driving licences
		1	dvla driving licence
		1	dvla provisional license
		1	how to get a motorbike driver's license in united kingdom
		1	international driver
		1	international driver's license united kingdom
		1	international driving permit
		1	learner motorcyclists
		1	license permits
		1	light motorbike license
		1	malta
		1	motorbike entitlement
		1	motorbike license
		1	motorbike license permits learners
		1	motorbike test
		1	motorcycle theory test
		1	standard motorbike license
		1	test
		1	uk
		1	uk driving licence
		1	united kingdom
		1	united kingdom driver's licence
		1	united kingdom driver's license categories
		1	united kingdom driver's license template
		1	united kingdom drivers license
		1	united kingdom driving test
		1	upper age limit
	Subtask ID: 2	Description: Resources for drivers test online (e.g., books, blogs, tutorials)
		1	Driving in United Kingdom
		1	drivers license
		1	drivers license united kingdom
		1	drivers license united kingdom psd
		1	driving licence
		1	driving licence application
		1	driving licence provisional
		1	driving licences
		1	dvla
		1	dvla driving licence
		1	dvla provisional license
		1	how to get a motorbike driver's license in united kingdom
		1	international driver
		1	international driver's license united kingdom
		1	international driving permit
		1	learner motorcyclists
		1	license permits
		1	light motorbike license
		1	malta
		1	motorbike entitlement
		1	motorbike license
		1	motorbike license permits learners
		1	motorbike test
		1	motorcycle theory test
		1	standard motorbike license
		1	test
		1	uk
		1	uk driving licence
		1	united kingdom
		1	united kingdom driver's licence
		1	united kingdom driver's license categories
		1	united kingdom driver's license template
		1	united kingdom drivers license
		1	united kingdom driving test
		1	upper age limit
	Subtask ID: 3	Description: Find driving schools in some area
		1	Driving in United Kingdom
		1	drivers license
		1	drivers license united kingdom
		1	drivers license united kingdom psd
		1	driving licence
		1	driving licence application
		1	driving licence provisional
		1	driving licence renewal
		1	dvla driving licence
		1	dvla provisional license
		1	how to get a motorbike driver's license in united kingdom
		1	international driver
		1	international driver's license united kingdom
		1	international driving permit
		1	learner motorcyclists
		1	license permits
		1	light motorbike license
		1	malta
		1	motorbike entitlement
		1	motorbike license
		1	motorbike license permits learners
		1	motorbike test
		1	motorcycle theory test
		1	standard motorbike license
		1	test
		1	uk
		1	uk driving licence
		1	united kingdom
		1	united kingdom driver's licence
		1	united kingdom driver's license categories
		1	united kingdom drivers license
		1	united kingdom driving test
		1	upper age limit
	Subtask ID: 4	Description: How much does it cost to take a test
		1	Driving in United Kingdom
		1	drivers license
		1	drivers license united kingdom
		1	drivers license united kingdom psd
		1	driving licence
		1	driving licence application
		1	driving licence provisional
		1	dvla
		1	dvla driving licence
		1	dvla provisional license
		1	how to get a motorbike driver's license in united kingdom
		1	international driver
		1	international driver's license united kingdom
		1	international driving permit
		1	learner motorcyclists
		1	license permits
		1	light motorbike license
		1	malta
		1	motorbike entitlement
		1	motorbike license
		1	motorbike license permits learners
		1	motorbike test
		1	motorcycle theory test
		1	standard motorbike license
		1	test
		1	uk
		1	uk driving licence
		1	united kingdom
		1	united kingdom driver's licence
		1	united kingdom driver's license categories
		1	united kingdom drivers license
		1	united kingdom driving test
		1	upper age limit
	Subtask ID: 5	Description: What are rules for driving test
		1	Driving in United Kingdom
		1	drivers license
		1	drivers license united kingdom
		1	drivers license united kingdom psd
		1	driving licence
		1	driving licence application
		1	driving licence check
		1	driving licence provisional
		1	driving licence renewal
		1	driving licences
		1	dvla
		1	dvla driving licence
		1	dvla provisional license
		1	how to get a motorbike driver's license in united kingdom
		1	international driver
		1	international driver's license united kingdom
		1	international driving permit
		1	learner motorcyclists
		1	license permits
		1	light motorbike license
		1	malta
		1	motorbike entitlement
		1	motorbike license
		1	motorbike license permits learners
		1	motorbike test
		1	motorcycle theory test
		1	standard motorbike license
		1	test
		1	uk
		1	uk driving licence
		1	united kingdom
		1	united kingdom driver's licence
		1	united kingdom driver's license categories
		1	united kingdom drivers license
		1	united kingdom driving test
		1	upper age limit
	Subtask ID: 6	Description: What is the procedure of getting a license in some area
		1	Driving in United Kingdom
		1	british forces germany
		1	drivers license
		1	drivers license united kingdom
		1	drivers license united kingdom psd
		1	driving licence
		1	driving licence application
		1	driving licence check
		1	driving licence provisional
		1	driving licences
		1	dvla
		1	dvla driving licence
		1	dvla provisional license
		1	how to get a motorbike driver's license in united kingdom
		1	international driver
		1	international driver's license united kingdom
		1	international driving permit
		1	learner motorcyclists
		1	license permits
		1	light motorbike license
		1	malta
		1	motorbike entitlement
		1	motorbike license
		1	motorbike license permits learners
		1	motorbike test
		1	motorcycle theory test
		1	private investigator license plate look-
		1	standard motorbike license
		1	test
		1	uk
		1	uk driving licence
		1	united kingdom
		1	united kingdom driver's licence
		1	united kingdom driver's license categories
		1	united kingdom drivers license
		1	united kingdom driving test
		1	upper age limit
	Subtask ID: 7	Description: How to apply for a license
		1	Driving in United Kingdom
		1	drivers license
		1	drivers license united kingdom
		1	drivers license united kingdom psd
		1	driving licence
		1	driving licence application
		1	driving licence check
		1	driving licence lost
		1	driving licence provisional
		1	driving licences
		1	dvla
		1	dvla driving licence
		1	dvla provisional license
		1	how to get a motorbike driver's license in united kingdom
		1	international driver
		1	international driver's license united kingdom
		1	international driving permit
		1	learner motorcyclists
		1	license permits
		1	light motorbike license
		1	malta
		1	motorbike entitlement
		1	motorbike license
		1	motorbike license permits learners
		1	motorbike test
		1	motorcycle theory test
		1	private investigator license plate look-
		1	standard motorbike license
		1	test
		1	uk
		1	uk driving licence
		1	united kingdom
		1	united kingdom driver's licence
		1	united kingdom driver's license categories
		1	united kingdom drivers license
		1	united kingdom driving test
		1	upper age limit
		1	vehicle licensing agency
	Subtask ID: 8	Description: How much time does it take to get a license
		1	Driving in United Kingdom
		1	drivers license
		1	drivers license united kingdom
		1	drivers license united kingdom psd
		1	driving licence
		1	driving licence application
		1	driving licence lost
		1	driving licence provisional
		1	driving licences
		1	dvla
		1	dvla driving licence
		1	dvla provisional license
		1	how to get a motorbike driver's license in united kingdom
		1	international driver
		1	international driver's license united kingdom
		1	international driving permit
		1	learner motorcyclists
		1	license permits
		1	light motorbike license
		1	malta
		1	motorbike entitlement
		1	motorbike license
		1	motorbike license permits learners
		1	motorbike test
		1	motorcycle theory test
		1	standard motorbike license
		1	test
		1	uk
		1	uk driving licence
		1	united kingdom
		1	united kingdom driver's licence
		1	united kingdom driver's license categories
		1	united kingdom drivers license
		1	united kingdom driving test
		1	upper age limit
Task ID: 25	Task: educational toys for kids
	Subtask ID: 1	Description: What kind of toys exist
		1	Animals Kids Toys Educational
		1	Best Educational Toys for Kids
		1	Discount educational toys kids
		1	Educational Toddler Toys
		1	Fun Educational Toys for Kids
		1	Kids Toys Educational Learning
		1	Learning Toys for Toddlers
		1	Mindware Catalog
		1	Mindware Toys
		1	Toys for Toddlers 2 3
		1	activity toys
		1	baby einstein company
		1	best educational toys for kids
		1	best educational toys for kids 2012
		1	block mats
		1	brain teasers
		1	breyer horses
		1	construction toys
		1	developmental toys kids
		1	discovery toys kids
		1	educational kids toys & gifts
		1	educational learning toys
		1	educational toy
		1	educational toy collection includes children
		1	educational toys
		1	educational toys & learning toys
		1	educational toys for kids
		1	educational toys for kids 4 years old
		1	educational toys for kids 5 years old
		1	educational toys for kids 7-10
		1	educational toys for kids ages 9-11
		1	educational toys for kids available
		1	educational toys for kids by
		1	educational toys for kids catalog
		1	educational toys for kids educational
		1	educational toys for kids educational kids toys and hobbies
		1	educational toys for kids in houston
		1	educational toys for kids of
		1	educational toys for kids on amazon
		1	educational toys for kids philippines
		1	educational toys for kids to build
		1	educational toys for kids with autism
		1	educational toys for kids with special needs
		1	fairy doll
		1	family board games
		1	fat brain toys
		1	find great deals
		1	find top toys
		1	fun and educational toys for kids at discounted prices
		1	fun and educational toys for kids at discounted prices layaway today!
		1	fun and educational toys for kids that are durable and safe
		1	fun educational toys for kids
		1	glue stick
		1	guidecraft toys
		1	kids educational toys
		1	kids educational toys for kids
		1	kids learning toys
		1	kids toy
		1	kids toy store
		1	kitchen play
		1	learning & educational toys
		1	learning toys
		1	learning toys kids
		1	new zealand toy stores
		1	offers camp songs
		1	swing sets
		1	swing sets kids
		1	tad baby
		1	toddler dvd
		1	toddler toys
		1	toddler video
		1	top educational toys kids
		1	top toys
		1	toy kitchen
		1	toys
		1	toys & games
		1	toys web site
		1	ty beanie babies
		1	vtech kidibeats kids drum set
		1	walt disney studios home entertainment
	Subtask ID: 2	Description: What is their price range
		1	Animals Kids Toys Educational
		1	Best Educational Toys for Kids
		1	Discount educational toys kids
		1	Educational Toddler Toys
		1	Fun Educational Toys for Kids
		1	Kids Toys Educational Learning
		1	Learning Toys for Toddlers
		1	Mindware Catalog
		1	Mindware Toys
		1	Toys for Toddlers 2 3
		1	activity toys
		1	baby einstein company
		1	best educational toys for kids
		1	best educational toys for kids 2012
		1	block mats
		1	brain teasers
		1	breyer horses
		1	construction toys
		1	developmental toys kids
		1	discovery toys kids
		1	educational kids toys & gifts
		1	educational learning toys
		1	educational toy
		1	educational toy collection includes children
		1	educational toys
		1	educational toys & learning toys
		1	educational toys for kids
		1	educational toys for kids 4 years old
		1	educational toys for kids 5 years old
		1	educational toys for kids 7-10
		1	educational toys for kids ages 9-11
		1	educational toys for kids available
		1	educational toys for kids by
		1	educational toys for kids catalog
		1	educational toys for kids educational
		1	educational toys for kids educational kids toys and hobbies
		1	educational toys for kids in houston
		1	educational toys for kids of
		1	educational toys for kids on amazon
		1	educational toys for kids philippines
		1	educational toys for kids to build
		1	educational toys for kids with autism
		1	educational toys for kids with special needs
		1	fairy doll
		1	family board games
		1	fat brain toys
		1	find great deals
		1	find top toys
		1	fun and educational toys for kids at discounted prices
		1	fun and educational toys for kids at discounted prices layaway today!
		1	fun and educational toys for kids that are durable and safe
		1	fun educational toys for kids
		1	glue stick
		1	guidecraft toys
		1	kids educational toys
		1	kids educational toys for kids
		1	kids learning toys
		1	kids toy
		1	kids toy store
		1	kitchen play
		1	learning & educational toys
		1	learning toys
		1	learning toys kids
		1	new zealand toy stores
		1	offers camp songs
		1	swing sets
		1	swing sets kids
		1	tad baby
		1	toddler dvd
		1	toddler toys
		1	toddler video
		1	top educational toys kids
		1	top toys
		1	toy kitchen
		1	toys
		1	toys & games
		1	toys web site
		1	ty beanie babies
		1	vtech kidibeats kids drum set
		1	walt disney studios home entertainment
	Subtask ID: 3	Description: Best store to buy them
		1	Animals Kids Toys Educational
		1	Best Educational Toys for Kids
		1	Discount educational toys kids
		1	Educational Toddler Toys
		1	Fun Educational Toys for Kids
		1	Kids Toys Educational Learning
		1	Learning Toys for Toddlers
		1	Mindware Catalog
		1	Mindware Toys
		1	Toys for Toddlers 2 3
		1	activity toys
		1	baby einstein company
		1	best educational toys for kids
		1	best educational toys for kids 2012
		1	block mats
		1	brain teasers
		1	breyer horses
		1	construction toys
		1	developmental toys kids
		1	discovery toys kids
		1	educational kids toys & gifts
		1	educational learning toys
		1	educational toy
		1	educational toy collection includes children
		1	educational toys
		1	educational toys & learning toys
		1	educational toys for kids
		1	educational toys for kids 4 years old
		1	educational toys for kids 5 years old
		1	educational toys for kids 7-10
		1	educational toys for kids ages 9-11
		1	educational toys for kids available
		1	educational toys for kids by
		1	educational toys for kids catalog
		1	educational toys for kids educational
		1	educational toys for kids educational kids toys and hobbies
		1	educational toys for kids in houston
		1	educational toys for kids of
		1	educational toys for kids on amazon
		1	educational toys for kids philippines
		1	educational toys for kids to build
		1	educational toys for kids with autism
		1	educational toys for kids with special needs
		1	fairy doll
		1	family board games
		1	fat brain toys
		1	find great deals
		1	find top toys
		1	fun and educational toys for kids at discounted prices
		1	fun and educational toys for kids at discounted prices layaway today!
		1	fun and educational toys for kids that are durable and safe
		1	fun educational toys for kids
		1	glue stick
		1	guidecraft toys
		1	kids educational toys
		1	kids educational toys for kids
		1	kids learning toys
		1	kids toy
		1	kids toy store
		1	kitchen play
		1	learning & educational toys
		1	learning toys
		1	learning toys kids
		1	new zealand toy stores
		1	offers camp songs
		1	swing sets
		1	swing sets kids
		1	tad baby
		1	toddler dvd
		1	toddler toys
		1	toddler video
		1	top educational toys kids
		1	top toys
		1	toy kitchen
		1	toys
		1	toys & games
		1	toys web site
		1	ty beanie babies
		1	vtech kidibeats kids drum set
		1	walt disney studios home entertainment
	Subtask ID: 4	Description: Stores that sell such toys online
		1	Animals Kids Toys Educational
		1	Best Educational Toys for Kids
		1	Discount educational toys kids
		1	Educational Toddler Toys
		1	Fun Educational Toys for Kids
		1	Kids Toys Educational Learning
		1	Learning Toys for Toddlers
		1	Mindware Catalog
		1	Mindware Toys
		1	Toys for Toddlers 2 3
		1	activity toys
		1	baby einstein company
		1	best educational toys for kids
		1	best educational toys for kids 2012
		1	block mats
		1	brain teasers
		1	breyer horses
		1	construction toys
		1	developmental toys kids
		1	discovery toys kids
		1	educational kids toys & gifts
		1	educational learning toys
		1	educational toy
		1	educational toy collection includes children
		1	educational toys
		1	educational toys & learning toys
		1	educational toys for kids
		1	educational toys for kids 4 years old
		1	educational toys for kids 5 years old
		1	educational toys for kids 7-10
		1	educational toys for kids ages 9-11
		1	educational toys for kids available
		1	educational toys for kids by
		1	educational toys for kids catalog
		1	educational toys for kids educational
		1	educational toys for kids educational kids toys and hobbies
		1	educational toys for kids in houston
		1	educational toys for kids of
		1	educational toys for kids on amazon
		1	educational toys for kids philippines
		1	educational toys for kids to build
		1	educational toys for kids with autism
		1	educational toys for kids with special needs
		1	fairy doll
		1	family board games
		1	fat brain toys
		1	find great deals
		1	find top toys
		1	fun and educational toys for kids at discounted prices
		1	fun and educational toys for kids at discounted prices layaway today!
		1	fun and educational toys for kids that are durable and safe
		1	fun educational toys for kids
		1	glue stick
		1	guidecraft toys
		1	kids educational toys
		1	kids educational toys for kids
		1	kids learning toys
		1	kids toy
		1	kids toy store
		1	kitchen play
		1	learning & educational toys
		1	learning toys
		1	learning toys kids
		1	new zealand toy stores
		1	offers camp songs
		1	swing sets
		1	swing sets kids
		1	tad baby
		1	toddler dvd
		1	toddler toys
		1	toddler video
		1	top educational toys kids
		1	top toys
		1	toy kitchen
		1	toys
		1	toys & games
		1	toys web site
		1	ty beanie babies
		1	vtech kidibeats kids drum set
		1	walt disney studios home entertainment
	Subtask ID: 5	Description: Toys for a specific age
		1	Animals Kids Toys Educational
		1	Best Educational Toys for Kids
		1	Discount educational toys kids
		1	Educational Toddler Toys
		1	Fun Educational Toys for Kids
		1	Kids Toys Educational Learning
		1	Learning Toys for Toddlers
		1	Mindware Catalog
		1	Mindware Toys
		1	Toys for Toddlers 2 3
		1	activity toys
		1	baby books
		1	baby einstein company
		1	best educational toys for kids
		1	best educational toys for kids 2012
		1	block mats
		1	brain teasers
		1	breyer horses
		1	construction toys
		1	developmental toys kids
		1	discovery toys kids
		1	educational kids toys & gifts
		1	educational learning toys
		1	educational toy
		1	educational toy collection includes children
		1	educational toys
		1	educational toys & learning toys
		1	educational toys for kids
		1	educational toys for kids 4 years old
		1	educational toys for kids 5 years old
		1	educational toys for kids 7-10
		1	educational toys for kids ages 9-11
		1	educational toys for kids available
		1	educational toys for kids by
		1	educational toys for kids catalog
		1	educational toys for kids educational
		1	educational toys for kids educational kids toys and hobbies
		1	educational toys for kids in houston
		1	educational toys for kids of
		1	educational toys for kids on amazon
		1	educational toys for kids philippines
		1	educational toys for kids to build
		1	educational toys for kids with autism
		1	educational toys for kids with special needs
		1	fairy doll
		1	family board games
		1	fat brain toys
		1	find great deals
		1	find top toys
		1	fun and educational toys for kids at discounted prices
		1	fun and educational toys for kids at discounted prices layaway today!
		1	fun and educational toys for kids that are durable and safe
		1	fun educational toys for kids
		1	glue stick
		1	guidecraft toys
		1	kids educational toys
		1	kids educational toys for kids
		1	kids learning toys
		1	kids toy
		1	kids toy store
		1	kitchen play
		1	learning & educational toys
		1	learning toys
		1	learning toys kids
		1	new zealand toy stores
		1	offers camp songs
		1	swing sets
		1	swing sets kids
		1	tad baby
		1	toddler dvd
		1	toddler toys
		1	toddler video
		1	top educational toys kids
		1	top toys
		1	toy kitchen
		1	toys
		1	toys & games
		1	toys web site
		1	ty beanie babies
		1	vtech kidibeats kids drum set
		1	walt disney studios home entertainment
	Subtask ID: 6	Description: Toys that teach certain things: alphabet, numbers etc. or that can be used to teach certain activities such as swimming,climbing etc.
		1	Animals Kids Toys Educational
		1	Best Educational Toys for Kids
		1	Discount educational toys kids
		1	Educational Toddler Toys
		1	Fun Educational Toys for Kids
		1	Kids Toys Educational Learning
		1	Learning Toys for Toddlers
		1	Mindware Catalog
		1	Mindware Toys
		1	Toys for Toddlers 2 3
		1	activity toys
		1	baby books
		1	baby einstein company
		1	best educational toys for kids
		1	best educational toys for kids 2012
		1	block mats
		1	brain teasers
		1	breyer horses
		1	construction toys
		1	developmental toys kids
		1	discovery toys kids
		1	educational kids toys & gifts
		1	educational learning toys
		1	educational toy
		1	educational toy collection includes children
		1	educational toys
		1	educational toys & learning toys
		1	educational toys for kids
		1	educational toys for kids 4 years old
		1	educational toys for kids 5 years old
		1	educational toys for kids 7-10
		1	educational toys for kids ages 9-11
		1	educational toys for kids available
		1	educational toys for kids by
		1	educational toys for kids catalog
		1	educational toys for kids educational
		1	educational toys for kids educational kids toys and hobbies
		1	educational toys for kids in houston
		1	educational toys for kids of
		1	educational toys for kids on amazon
		1	educational toys for kids philippines
		1	educational toys for kids to build
		1	educational toys for kids with autism
		1	educational toys for kids with special needs
		1	family board games
		1	fat brain toys
		1	find great deals
		1	find top toys
		1	fun and educational toys for kids at discounted prices
		1	fun and educational toys for kids at discounted prices layaway today!
		1	fun and educational toys for kids that are durable and safe
		1	fun educational toys for kids
		1	glue stick
		1	guidecraft toys
		1	kids educational toys
		1	kids educational toys for kids
		1	kids learning toys
		1	kids toy
		1	kids toy store
		1	learning & educational toys
		1	learning toys
		1	learning toys kids
		1	new zealand toy stores
		1	offers camp songs
		1	swing sets
		1	swing sets kids
		1	tad baby
		1	toddler dvd
		1	toddler toys
		1	toddler video
		1	top educational toys kids
		1	top toys
		1	toy kitchen
		1	toys
		1	toys & games
		1	toys web site
		1	vtech kidibeats kids drum set
		1	walt disney studios home entertainment
	Subtask ID: 7	Description: Toys of certain companies
		1	Animals Kids Toys Educational
		1	Best Educational Toys for Kids
		1	Discount educational toys kids
		1	Educational Toddler Toys
		1	Fun Educational Toys for Kids
		1	Kids Toys Educational Learning
		1	Learning Toys for Toddlers
		1	Mindware Catalog
		1	Mindware Toys
		1	Toys for Toddlers 2 3
		1	activity toys
		1	baby books
		1	baby einstein company
		1	best educational toys for kids
		1	best educational toys for kids 2012
		1	block mats
